Trading Day,Portfolio Value,Daily Return,Total Profit
0,2997.00496,-0.0009983466666665967,-2.99503999999979
1,3028.6025600000003,0.0047723561472185205,28.602560000000267
2,3123.6876100000004,0.013646798881989502,123.6876100000004
3,3122.5486600000004,0.010143944879902488,122.54866000000038
4,3121.7201,0.00806208643470191,121.7201
5,3122.67158,0.006769204279169231,122.67158000000018
6,3120.1357299999995,0.005686164085847844,120.13572999999951
7,3099.79477,0.004160486718484719,99.79476999999997
8,3083.74775,0.003123010329161142,83.74775
9,3078.2480100000002,0.002632363320962201,78.24801000000025
10,3076.9321999999997,0.002354198092980356,76.93219999999974
11,3077.12567,0.002163254715529333,77.1256699999999
12,3075.75188,0.001962508017846363,75.7518799999998
13,3061.2815299999997,0.0014862821219292115,61.28152999999975
14,3057.28229,0.0013001037099482494,57.2822900000001
15,3152.9300000000003,0.0031741726798848644,152.9300000000003
16,3095.76875,0.0019210116282395416,95.76875000000018
17,3079.0540499999993,0.0015143327492572478,79.05404999999928
18,3073.605359999999,0.0013414942526819025,73.60535999999911
19,3066.776899999999,0.0011633372897227336,66.77689999999893
20,3163.2768999999994,0.0026063336201693926,163.2768999999994
21,3136.0568999999996,0.002096727513827651,136.0568999999996
22,3137.05439,0.0020193946391933093,137.05438999999978
23,3146.201879999999,0.0020567510627720266,146.20187999999916
24,3156.595649999999,0.002106624733810763,156.59564999999884
25,3168.7617899999996,0.0021738390336539315,168.76178999999956
26,3177.4106799999995,0.0021944162022677588,177.4106799999995
27,3175.7781799999993,0.0020976947975941047,175.77817999999934
28,3163.89344,0.0018963153917494863,163.89343999999983
29,3132.92184,0.0015068022751917735,132.92183999999997
30,3142.3686,0.0015554641178983232,142.3685999999998
31,3148.3122599999997,0.0015659639443418366,148.3122599999997
32,3149.5445,0.0015303710068883532,149.54449999999997
33,3147.2568499999998,0.0014639970617810446,147.25684999999976
34,3128.3341000000005,0.0012503840566191545,128.3341000000005
35,3155.6355199999994,0.0014580718135486408,155.63551999999936
36,3130.82082,0.0012061343561647674,130.8208199999999
37,3100.0208199999997,0.00091550777491538,100.02081999999973
38,3127.32399,0.0011178643715024873,127.32398999999987
39,3153.2539899999992,0.0012972036085400402,153.25398999999925
40,3178.8218699999998,0.0014633306232059843,178.82186999999976
41,3255.86465,0.002005543427137412,255.86464999999998
42,3223.79613,0.0017298455918448386,223.79613000000018
43,3254.8601599999993,0.0019095276093380714,254.86015999999927
44,3202.8760299999994,0.0015121773735598289,202.87602999999945
45,3132.0207999999993,0.000998382720187654,132.02079999999933
46,3070.8858599999994,0.0005618356924057059,70.88585999999941
47,3032.08234,0.00028688209641894213,32.08233999999993
48,3032.6966599999996,0.00028516218904337757,32.69665999999961
49,3101.0826199999997,0.0007304500443854937,101.08261999999968
50,3105.085459999999,0.000741437061650395,105.08545999999887
51,3046.709,0.00036563491000331786,46.70899999999983
52,3043.960699999999,0.00034171622680194457,43.96069999999918
53,3035.7703999999994,0.0002855608882014388,35.77039999999943
54,3034.9365999999995,0.00027537508200812144,34.936599999999544
55,3035.6564599999992,0.0002746932254773015,35.65645999999924
56,2978.0032599999995,-6.331900868147608e-05,-21.9967400000005
