#{"t_start": 1745275976.1678853, "env_id": "None"}
r,l,t
762.675625,1441,49.377263
620.773801,1441,89.577569
620.773801,1441,148.737766
620.773801,1441,203.892539
620.773801,1441,255.603918
620.773801,1441,308.202681
620.773801,1441,359.858336
620.773801,1441,413.487816
620.773801,1441,467.326942
620.773801,1441,532.142304
620.773801,1441,605.056556
620.773801,1441,673.015687
620.773801,1441,729.623289
620.773801,1441,793.004377
620.773801,1441,854.894624
620.773801,1441,910.072414
620.773801,1441,971.388023
620.773801,1441,1030.999853
620.773801,1441,1087.800703
620.773801,1441,1143.975846
620.773801,1441,1194.672283
620.773801,1441,1237.654124
620.773801,1441,1283.429014
620.773801,1441,1336.009111
620.773801,1441,1396.334466
620.773801,1441,1451.805184
620.773801,1441,1509.596352
