#{"t_start": 1745203147.2970445, "env_id": "None"}
r,l,t
555.582626,1441,77.091258
538.29666,1441,190.8406
615.204207,1441,318.144227
677.253524,1441,419.62313
629.052417,1441,538.775601
595.292533,1441,618.102052
630.298737,1441,717.455838
471.005144,1441,826.816323
610.276634,1441,950.285023
690.683762,1441,1068.421393
497.038844,1441,1173.358455
515.032139,1441,1279.591558
570.136007,1441,1398.985865
684.111915,1441,1511.722643
623.044511,1441,1622.638279
555.357524,1441,1747.267365
613.653938,1441,1842.655735
492.316748,1441,1933.491443
518.074974,1441,2031.914056
601.645483,1441,2153.391449
578.096204,1441,2291.328206
536.133137,1441,2392.605808
648.493904,1441,2518.373389
421.452123,1441,2631.772143
638.054542,1441,2752.985389
662.307884,1441,2878.11676
526.43837,1441,2988.442428
583.842893,1441,3115.396277
592.100997,1441,3235.420425
439.633236,1441,3349.34814
725.4898,1441,3468.330193
624.51585,1441,3602.314135
695.314362,1441,3688.232022
589.695076,1441,3798.902167
644.023764,1441,3915.34287
646.068498,1441,4031.175774
602.043151,1441,4149.862728
575.078895,1441,4247.488083
627.977756,1441,4366.983274
690.408665,1441,4486.12854
563.36877,1441,4589.350423
596.799054,1441,4706.711334
540.186767,1441,4812.731125
523.743891,1441,4896.495663
511.929417,1441,5017.994404
575.759266,1441,5140.479576
549.969025,1441,5252.665297
532.910878,1441,5356.069788
382.521043,1441,5439.938306
574.227594,1441,5542.185771
380.264091,1441,5660.553917
678.488813,1441,5776.840297
630.124986,1441,5883.077801
630.616909,1441,5999.976558
583.963559,1441,6110.904657
549.146705,1441,6233.615906
779.588153,1441,6348.883611
577.817953,1441,6458.261744
759.426291,1441,6566.212058
576.478289,1441,6655.394817
783.342145,1441,6783.207745
515.728776,1441,6889.627545
457.324101,1441,7012.467717
712.245848,1441,7120.934709
654.882117,1441,7222.616816
432.732785,1441,7334.711381
600.089932,1441,7440.595722
449.514037,1441,7543.748757
816.60471,1441,7658.671719
593.971717,1441,7772.79241
634.111089,1441,7866.325281
679.217606,1441,7961.616794
487.80461,1441,8070.278832
675.094868,1441,8171.35511
608.07465,1441,8276.146049
423.36482,1441,8356.130281
618.873296,1441,8473.176873
711.815667,1441,8586.749577
695.134032,1441,8717.820956
671.597793,1441,8837.313323
698.302651,1441,8942.98772
695.930448,1441,9055.326386
335.724969,1441,9177.243593
571.908092,1441,9316.780116
744.738993,1441,9421.929671
588.008784,1441,9520.19217
518.290423,1441,9602.346195
539.141395,1441,9727.36988
659.715079,1441,9842.508226
518.576396,1441,9958.182231
582.061699,1441,10081.643044
647.167646,1441,10186.805309
726.905746,1441,10298.237913
648.14143,1441,10401.978383
505.206319,1441,10507.908415
664.31212,1441,10644.059958
657.354712,1441,10776.684253
731.514708,1441,10868.219924
590.48596,1441,10954.704744
534.468629,1441,11052.427203
501.742544,1441,11166.759575
753.94628,1441,11277.073674
574.64434,1441,11379.197697
678.596329,1441,11479.764422
540.241884,1441,11584.94853
856.02487,1441,11723.974838
751.909508,1441,11818.188574
550.516401,1441,11914.000216
561.27547,1441,12027.027292
608.604686,1441,12148.277848
470.302962,1441,12271.682369
707.31448,1441,12387.979408
732.539153,1441,12504.0304
420.677387,1441,12581.582544
669.34322,1441,12704.512088
810.263419,1441,12822.392837
713.447435,1441,12946.270163
535.759964,1441,13058.375288
714.076725,1441,13140.726538
515.991495,1441,13253.776451
658.788309,1441,13364.025791
691.689432,1441,13474.663022
636.90927,1441,13590.90782
725.611461,1441,13682.344743
744.906455,1441,13780.723865
696.355509,1441,13909.789226
522.522926,1441,14027.843969
653.398459,1441,14170.499683
784.941307,1441,14301.84885
646.181764,1441,14388.169689
766.326697,1441,14510.657939
745.926843,1441,14615.288398
610.457203,1441,14702.88565
720.861397,1441,14824.851158
738.81647,1441,14901.336015
755.647684,1441,15006.007536
461.267663,1441,15092.869517
695.315343,1441,15212.479101
612.577462,1441,15329.590603
508.164869,1441,15444.535816
700.182399,1441,15519.466587
841.544104,1441,15631.626792
604.634125,1441,15737.574345
512.807184,1441,15844.818958
712.892731,1441,15937.580187
718.895548,1441,16007.579936
614.705958,1441,16136.317614
779.040411,1441,16236.153723
671.266397,1441,16350.114275
550.888022,1441,16475.870209
708.018969,1441,16547.93201
897.008244,1441,16658.164444
614.597108,1441,16774.202872
727.337948,1441,16881.415392
751.952596,1441,16994.067533
747.612013,1441,17104.199381
722.857471,1441,17207.69147
850.307386,1441,17307.670913
673.517357,1441,17425.510807
741.035784,1441,17518.425719
806.577912,1441,17622.157723
845.759478,1441,17680.966001
630.367789,1441,17760.731736
866.491816,1441,17828.361666
748.449648,1441,17904.69997
522.980181,1441,17978.578987
632.489294,1441,18057.53824
881.09102,1441,18125.936468
516.238686,1441,18201.259202
750.335154,1441,18283.513308
633.839309,1441,18370.832096
765.965341,1441,18449.663297
489.477441,1441,18499.948332
