#{"t_start": 1745157236.9388363, "env_id": "None"}
r,l,t
559.573034,1451,6.10346
498.691329,1451,12.05103
502.16588,1451,17.866482
705.781289,1451,23.796462
424.548338,1451,29.776293
695.239073,1451,35.716447
599.960862,1451,41.557245
504.993362,1451,47.676573
805.116527,1451,53.593945
566.267044,1451,59.445064
411.914268,1451,65.452639
462.601297,1451,71.187131
607.215545,1451,77.068937
467.008371,1451,83.033131
646.601154,1451,88.809794
574.033148,1451,94.738401
541.859371,1451,100.562719
723.559987,1451,106.280481
448.050406,1451,112.075634
646.656964,1451,117.881226
692.54838,1451,123.775476
667.790358,1451,129.630723
582.314536,1451,135.673834
753.206207,1451,141.744063
755.687969,1451,147.654601
530.726181,1451,153.513238
869.198332,1451,159.377261
680.519744,1451,165.225343
676.876897,1451,170.853607
606.779459,1451,176.777063
699.938589,1451,182.539428
635.600612,1451,188.439384
836.904377,1451,194.578068
589.023689,1451,200.502259
575.970498,1451,206.255742
519.529448,1451,212.18933
427.635251,1451,218.088153
652.239145,1451,224.086711
581.66402,1451,229.994207
555.403334,1451,235.685585
404.655884,1451,241.504993
613.082272,1451,247.478517
504.574663,1451,253.227695
619.497603,1451,259.085085
508.790406,1451,264.986873
740.156775,1451,271.181143
633.854713,1451,276.91248
632.271306,1451,282.74548
707.324053,1451,288.526878
598.234535,1451,294.539314
590.921209,1451,300.353281
654.033701,1451,306.103784
628.143802,1451,311.909007
711.257999,1451,318.068299
761.454094,1451,324.060335
701.179049,1451,329.973077
731.564056,1451,335.750902
775.436301,1451,341.709243
694.216169,1451,347.861433
708.124688,1451,353.736397
847.294716,1451,359.519902
670.374786,1451,365.390244
734.719449,1451,371.053956
661.805575,1451,376.84933
734.093323,1451,382.761062
764.469877,1451,388.715209
541.230088,1451,394.900025
546.104833,1451,400.509941
565.810168,1451,406.543628
615.655446,1451,412.38175
604.213343,1451,418.328908
753.307692,1451,424.098598
889.371058,1451,429.916319
561.467059,1451,435.710673
346.863307,1451,441.495904
456.883902,1451,447.262022
525.21413,1451,453.155412
747.324951,1451,458.837609
523.263512,1451,464.539516
734.443293,1451,470.285271
564.559593,1451,476.297882
480.304662,1451,482.310143
702.177143,1451,488.282815
475.273811,1451,494.382503
765.391585,1451,500.221658
770.176781,1451,506.085319
688.559091,1451,512.02943
686.179509,1451,517.865612
797.429429,1451,523.88251
519.197427,1451,529.767698
691.221292,1451,535.631941
690.25483,1451,541.578635
633.274237,1451,547.479832
792.06881,1451,553.545856
765.065211,1451,559.292334
799.771814,1451,565.297948
762.708995,1451,571.175954
837.317478,1451,576.985257
725.545223,1451,582.627781
413.578184,1451,588.442093
687.040877,1451,594.323059
787.452157,1451,600.198088
673.127658,1451,605.869726
505.348924,1451,611.62351
572.628421,1451,617.358682
663.679615,1451,623.268189
779.962735,1451,629.227875
784.034298,1451,635.031689
815.268778,1451,640.900097
659.854306,1451,646.745756
628.597694,1451,652.650873
728.894709,1451,658.586199
529.174623,1451,664.480529
787.694414,1451,670.377864
580.559299,1451,676.154038
644.805521,1451,682.097287
594.701706,1451,688.170887
912.317602,1451,693.952991
623.953708,1451,699.666882
572.123879,1451,705.425102
772.728779,1451,711.389874
686.698375,1451,717.241926
863.654348,1451,723.135851
769.105964,1451,729.030575
746.170689,1451,734.98265
824.749282,1451,740.798265
700.277293,1451,746.442013
752.003208,1451,752.308117
727.299263,1451,758.323
631.412295,1451,764.100287
665.164342,1451,770.026433
610.327107,1451,775.99103
690.781928,1451,781.769509
701.479643,1451,787.596417
606.350395,1451,793.390783
754.981828,1451,799.22637
655.13631,1451,805.217722
669.181758,1451,811.005694
723.926022,1451,817.036911
608.044892,1451,822.825938
784.4898,1451,828.70844
762.816985,1451,834.49795
673.656869,1451,840.447622
458.786614,1451,846.48074
839.911856,1451,852.245716
637.659155,1451,858.303148
548.827319,1451,864.074084
616.818402,1451,869.849094
678.283454,1451,875.736151
804.987312,1451,881.990179
650.659927,1451,887.811528
733.188881,1451,893.629877
598.136955,1451,899.405769
677.548406,1451,905.149846
651.665551,1451,911.001234
540.182885,1451,916.895534
675.602283,1451,922.745247
721.721901,1451,928.560349
601.487542,1451,934.340529
685.233238,1451,940.263975
677.535577,1451,946.481218
663.142565,1451,952.553443
735.447783,1451,958.277642
681.49705,1451,964.170809
788.850582,1451,970.036799
612.866224,1451,976.179304
591.63193,1451,981.931341
692.386836,1451,987.919749
798.135513,1451,994.012696
495.077445,1451,999.932298
612.233237,1451,1005.79708
771.856473,1451,1011.867619
