Trading Day,Portfolio Value,Daily Return,Total Profit
0,2997.01416,-0.0009952799999999417,-2.9858399999998255
1,3024.67416,0.004116952811933866,24.67416000000003
2,3097.57416,0.010778558438880073,97.57416000000012
3,3107.13416,0.008855490348209654,107.13416000000007
4,3115.91416,0.007649543285758205,115.91415999999981
5,3125.47416,0.006885972815552734,125.47416000000021
6,3097.21416,0.004610572688677139,97.21415999999999
7,3067.19416,0.0028226784420826417,67.19416000000001
8,3058.17416,0.0021822921146388953,58.17416000000003
9,3110.07416,0.003661153954392314,110.07416000000012
10,3098.53416,0.0029910015537546355,98.53416000000016
11,3088.21416,0.0024642008291898203,88.21415999999999
12,3076.67416,0.0019872017286982897,76.67416000000003
13,3072.05416,0.0017380000710645327,72.05416000000014
14,3041.41416,0.0009572145667622167,41.41415999999981
15,3054.27416,0.00116165717016803,54.27415999999994
16,3068.89416,0.00137489702284207,68.89415999999983
17,3122.4541600000002,0.002268099445162004,122.45416000000023
18,3177.01416,0.0030683802671205365,177.01416000000017
19,3230.57416,0.0037578910819400305,230.57416000000012
20,3237.4341600000002,0.0036800611040342748,237.43416000000025
21,3253.07416,0.0037323758846285237,253.07416000000012
22,3245.07416,0.003463176398167703,245.07416000000012
23,3236.07416,0.0032033176188384013,236.07416000000012
24,3228.07416,0.002976299664804917,228.07416000000012
25,3220.07416,0.002766508992676532,220.07416000000012
26,3211.07416,0.002560528412026784,211.07416000000012
27,3203.07416,0.0023801031776715053,203.07416000000012
28,3194.07416,0.0022011409751753292,194.07416000000012
29,3186.07416,0.0020442816709513186,186.07416000000012
30,3211.81416,0.0022389470362038553,211.8141599999999
31,3219.4341600000002,0.0022431202832406526,219.43416000000025
32,3226.83416,0.002244799685594838,226.83415999999988
33,3234.4541600000002,0.0022482305085871172,234.45416000000023
34,3223.21416,0.0020847072360311715,223.21416
35,3242.59416,0.0021938162520707695,242.5941600000001
36,3238.59416,0.002101183915131667,238.5941600000001
37,3249.51416,0.002134622059813757,249.51416000000017
38,3265.19416,0.0022036147434208366,265.19416
39,3280.09416,0.0022626064115372326,280.0941600000001
40,3295.77416,0.0023240148057396986,295.77415999999994
41,3292.77416,0.0022470083450076704,292.77415999999994
42,3343.05416,0.0025498639446328458,343.05416000000014
43,3326.77416,0.002381235253618901,326.77415999999994
44,3318.79416,0.0022750140238440996,318.7941599999999
45,3318.79416,0.002225557197238793,318.7941599999999
46,3318.79416,0.002178204916446478,318.7941599999999
