#{"t_start": 1745272952.2202396, "env_id": "None"}
r,l,t
925.612202,1456,23.136288
757.544779,1456,57.331295
757.544779,1456,91.000987
757.544779,1456,118.119129
757.544779,1456,151.268152
757.544779,1456,184.992033
757.544779,1456,216.270799
757.544779,1456,248.394195
757.544779,1456,282.325269
757.544779,1456,318.173995
757.544779,1456,352.789662
757.544779,1456,384.313008
757.544779,1456,416.642295
757.544779,1456,450.034429
757.544779,1456,480.065989
757.544779,1456,504.730483
757.544779,1456,533.417963
757.544779,1456,560.513735
757.544779,1456,588.318645
757.544779,1456,618.731765
757.544779,1456,651.290683
757.544779,1456,685.47893
757.544779,1456,720.324718
757.544779,1456,752.604606
757.544779,1456,786.117208
757.544779,1456,816.111071
757.544779,1456,848.747218
