Trading Day,Portfolio Value,Daily Return,Total Profit
38,2884.2452099999996,-0.0009184550587311844,-115.75479000000041
39,2889.6252099999992,-0.0008488610313587217,-110.37479000000076
40,2924.3093099999996,-0.0005354016088273946,-75.69069000000036
41,2932.8991899999987,-0.00045271574361052544,-67.10081000000127
42,2941.8391899999992,-0.00037129960042134655,-58.160810000000765
43,2951.459189999999,-0.00028854135554078785,-48.540810000000874
44,2951.239189999999,-0.0002837857565502525,-48.76081000000113
45,2941.2791899999993,-0.0003509828820729479,-58.72081000000071
46,2937.459189999999,-0.00037114823865679373,-62.540810000000874
47,2900.559189999999,-0.000625121747161274,-99.44081000000097
48,2908.2991899999993,-0.000557905977311401,-91.70081000000073
49,2917.039189999999,-0.00048664400029375666,-82.96081000000095
50,2922.653529999999,-0.00043936331895306715,-77.34647000000086
51,2943.7126899999994,-0.0002923468483320448,-56.287310000000616
52,2950.00683,-0.0002464881562859261,-49.99317000000019
53,2927.153929999999,-0.00038538148352262565,-72.84607000000096
54,2942.9139299999993,-0.00028048237595072056,-57.086070000000745
55,2969.453929999999,-0.00011443318031007265,-30.546070000000782
56,2996.783929999999,4.9043058196390033e-05,-3.2160700000008546
57,3023.323929999999,0.00020088991370260307,23.32392999999911
58,3029.393929999999,0.00023151422017133114,29.393929999998818
59,2992.5939299999986,2.519491098585813e-05,-7.406070000001364
60,2991.0839299999993,1.6510093061151985e-05,-8.916070000000673
61,2980.9802299999997,-3.82390909311416e-05,-19.019770000000335
62,2977.5986199999998,-5.563839603771342e-05,-22.401380000000245
63,2973.47045,-7.643168921637826e-05,-26.5295500000002
64,2954.8404499999997,-0.00017164668069167416,-45.15955000000031
65,2957.3604499999997,-0.0001561241866562185,-42.63955000000033
66,3034.0504499999997,0.0002332494325503982,34.05044999999973
67,3039.56045,0.00025652597294411727,39.560449999999946
68,3011.2104499999996,0.00011763419832814277,11.210449999999582
69,3017.10045,0.00014389691021112966,17.10044999999991
70,3022.66045,0.00016782553023627706,22.660449999999855
71,3025.560969999999,0.00017882228314669625,25.560969999999088
72,3041.875439999999,0.00025023859798244916,41.87543999999889
73,3032.361989999999,0.00020459355037938598,32.36198999999897
74,3038.1010699999993,0.00022710044241629036,38.101069999999254
75,3050.4876699999995,0.00027775814998374983,50.487669999999525
76,3052.068629999999,0.00028088161134383056,52.06862999999885
77,3057.8152299999992,0.00030141972045219436,57.81522999999925
78,3062.935229999999,0.00031879919356440196,62.93522999999914
79,3075.735229999999,0.00036705167782741287,75.73522999999886
80,3075.535229999999,0.00036171739658315846,75.53522999999905
81,3111.1352299999994,0.0004984674406044472,111.13522999999941
82,3114.535229999999,0.0005056286602423178,114.53522999999905
83,3120.215229999999,0.0005213200701929868,120.21522999999888
84,3125.2552299999993,0.000534190106866253,125.2552299999993
85,3130.935229999999,0.000549111751695576,130.93522999999914
86,3128.735229999999,0.0005347235080431126,128.73522999999886
87,3123.7352299999993,0.0005104869926631088,123.73522999999932
88,3133.3352299999992,0.0005392820132276664,133.33522999999923
89,3134.135229999999,0.0005361268685738769,134.13522999999896
