#{"t_start": 1745278000.3985894, "env_id": "None"}
r,l,t
737.635988,1456,15.340658
675.047185,1456,32.223871
484.454063,1456,44.889106
541.010022,1456,56.243712
531.79394,1456,73.101146
632.850411,1456,88.080321
637.582347,1456,99.287938
642.917339,1456,114.126554
633.905435,1456,126.816729
501.928948,1456,138.500372
565.881275,1456,148.82902
668.619312,1456,161.663283
728.889458,1456,173.913721
492.279283,1456,185.688512
719.948004,1456,197.951736
716.336622,1456,211.461372
667.901595,1456,225.593896
595.254945,1456,238.996648
628.01943,1456,254.083483
704.424975,1456,268.207346
741.878254,1456,279.13626
542.862044,1456,292.759148
807.887923,1456,306.253262
467.58618,1456,322.914287
828.392708,1456,336.550284
656.329389,1456,349.267488
728.315741,1456,363.211443
660.348818,1456,374.582636
746.515423,1456,387.235295
722.000417,1456,399.654902
680.091276,1456,412.520168
787.922272,1456,422.263187
727.921628,1456,434.01361
792.720452,1456,447.398479
714.719633,1456,456.934871
888.39089,1456,468.844936
520.260749,1456,481.671867
857.269153,1456,497.178353
646.612655,1456,507.61833
703.618403,1456,520.162289
766.181052,1456,529.900673
841.65869,1456,538.394638
712.717136,1456,549.494511
733.340277,1456,562.687859
363.839065,1456,574.621774
671.516282,1456,585.885764
609.313008,1456,597.419181
650.547624,1456,608.214394
707.090338,1456,618.913748
538.209433,1456,630.302566
761.569509,1456,638.612966
730.563605,1456,645.66083
725.080921,1456,654.234861
711.904737,1456,662.772111
627.096516,1456,670.226268
521.815906,1456,676.375269
574.398006,1456,684.020373
562.487071,1456,691.52989
712.063476,1456,697.853727
508.201386,1456,706.225163
631.224111,1456,715.505889
465.839571,1456,721.477052
461.157389,1456,725.692832
726.377964,1456,732.534055
623.200111,1456,742.622033
663.406818,1456,752.983442
488.812789,1456,767.466957
546.412901,1456,780.907133
462.474338,1456,795.305679
786.960315,1456,805.114841
641.454013,1456,817.546767
609.972465,1456,829.571306
677.558036,1456,840.90006
602.901899,1456,853.581675
687.257845,1456,867.608599
558.41293,1456,879.039656
626.137071,1456,891.246675
607.15141,1456,905.891106
737.461658,1456,919.870392
528.346997,1456,930.621601
803.577089,1456,942.847321
571.540985,1456,954.518384
605.246284,1456,966.541331
536.173377,1456,977.768324
800.439519,1456,990.387249
448.415696,1456,1003.125711
421.898832,1456,1014.995802
522.384043,1456,1025.644594
569.185061,1456,1038.701799
551.25973,1456,1047.799444
569.896866,1456,1059.500245
694.081974,1456,1073.54369
811.912419,1456,1084.181459
582.774147,1456,1094.017915
563.927658,1456,1107.353897
498.493329,1456,1119.711009
592.225341,1456,1129.209494
483.324827,1456,1140.714865
783.826071,1456,1151.75646
679.515662,1456,1165.400165
876.202974,1456,1177.190921
762.404848,1456,1191.210361
584.593657,1456,1206.225697
502.456276,1456,1219.492698
571.219941,1456,1232.024691
556.987265,1456,1244.136936
587.193958,1456,1259.946085
633.24865,1456,1268.851775
659.601743,1456,1278.425302
637.74163,1456,1293.012213
569.328426,1456,1305.737688
641.982356,1456,1319.268337
406.585698,1456,1333.632714
487.603999,1456,1346.679994
684.497997,1456,1360.410414
709.621273,1456,1375.591219
658.726719,1456,1386.528379
533.912912,1456,1399.006611
627.639957,1456,1413.936593
435.536447,1456,1428.156801
464.338462,1456,1443.495716
633.376064,1456,1456.837817
541.720448,1456,1472.250314
573.308038,1456,1489.064754
449.977669,1456,1503.533313
568.61725,1456,1520.678152
459.700395,1456,1534.256853
715.91391,1456,1545.637721
606.168519,1456,1560.482052
676.040683,1456,1574.204461
475.555979,1456,1591.041881
792.297407,1456,1599.526188
518.137388,1456,1616.226412
527.724083,1456,1631.334947
737.532217,1456,1643.101795
434.708182,1456,1657.581989
684.758295,1456,1674.577214
604.649357,1456,1690.625456
678.184633,1456,1704.433406
655.018819,1456,1719.583279
733.226044,1456,1734.396824
593.296481,1456,1745.984228
599.844611,1456,1763.084553
709.320828,1456,1779.269134
657.285307,1456,1796.078425
567.324939,1456,1809.534647
634.093566,1456,1823.679563
729.857924,1456,1839.813332
759.52326,1456,1854.124542
723.786463,1456,1869.911008
720.555735,1456,1886.484784
774.097237,1456,1902.841731
583.523212,1456,1915.782902
568.824515,1456,1930.658226
747.369334,1456,1945.82689
702.852884,1456,1958.146142
748.073169,1456,1968.116829
696.654856,1456,1984.843047
642.51735,1456,2005.161919
773.41822,1456,2019.817608
776.013396,1456,2035.956379
776.163463,1456,2051.153064
716.374268,1456,2062.7222
741.16431,1456,2075.074208
782.810155,1456,2087.353005
750.732783,1456,2099.850555
752.169987,1456,2108.20732
835.43748,1456,2118.235456
759.50093,1456,2128.645186
746.459567,1456,2137.358641
774.699213,1456,2148.058636
771.034521,1456,2158.520352
784.550387,1456,2167.585171
