Trading Day,Portfolio Value,Daily Return,Total Profit
0,2997.0112900000004,-0.0009962366666665427,-2.988709999999628
1,2991.8691000000003,-0.0013560046578122203,-8.130899999999656
2,2964.28193,-0.003977574516916438,-35.7180699999999
3,2927.1872399999997,-0.006111652712902715,-72.81276000000025
4,2930.29259,-0.004677149203894492,-69.70740999999998
5,2900.5376100000003,-0.005590002548316733,-99.46238999999969
6,2898.0480500000003,-0.004914046448509993,-101.95194999999967
7,2865.5166199999994,-0.005702951901280484,-134.48338000000058
8,2851.7086499999996,-0.005604698008829573,-148.29135000000042
9,2878.2832299999995,-0.0041123454926488955,-121.71677000000045
10,2851.7402799999995,-0.004576841284611998,-148.25972000000047
11,2842.3629699999997,-0.004469460869914978,-157.63703000000032
12,2855.9568499999996,-0.0037577640190344314,-144.04315000000042
13,2843.16572,-0.0038092633492640255,-156.83428000000004
14,2833.9215099999997,-0.003772071075362628,-166.07849000000033
15,2834.7404100000003,-0.0035182564117174522,-165.25958999999966
16,2810.0187699999997,-0.003824297431432461,-189.98123000000032
17,2808.6885399999996,-0.003638135812851529,-191.31146000000035
18,2786.8964700000006,-0.0038550132005615535,-213.1035299999994
19,2780.07899,-0.003784575659685703,-219.92101000000002
20,2784.35567,-0.0035311039429812047,-215.64433000000008
21,2790.55177,-0.0032694480212296043,-209.44822999999997
22,2794.75272,-0.003061845101888469,-205.24728000000005
23,2785.24676,-0.003075991554311137,-214.75324
24,2742.6347799999994,-0.0035649189266143094,-257.3652200000006
25,2750.5579700000008,-0.0033166952285472264,-249.44202999999925
26,2743.8715700000007,-0.003283888921992344,-256.1284299999993
27,2740.955230000001,-0.0032045663129314306,-259.04476999999906
28,2731.026240000001,-0.003218976305680296,-268.97375999999895
29,2748.7363100000007,-0.0028955181812995406,-251.26368999999931
30,2756.0269900000008,-0.0027165538789114927,-243.97300999999925
31,2764.128140000001,-0.002539804364725974,-235.87185999999883
32,2748.710330000001,-0.0026318654531135425,-251.2896699999992
33,2789.5669800000005,-0.0021172831048105944,-210.4330199999995
34,2797.1645400000007,-0.001978973230571448,-202.83545999999933
35,2808.2499300000004,-0.001813916165059398,-191.7500699999996
36,2811.768340000001,-0.0017310296876366454,-188.231659999999
37,2767.669070000001,-0.002098208393860241,-232.33092999999917
38,2811.9816100000007,-0.0016338753636101339,-188.01838999999927
39,2831.878850000001,-0.0014161315189455165,-168.12114999999903
40,2900.5317800000007,-0.0007903017038713995,-99.46821999999929
41,2891.2187400000003,-0.0008479327187913217,-108.78125999999975
42,2902.5422800000006,-0.0007371312998839914,-97.45771999999943
43,2910.2314,-0.0006601715348379176,-89.76859999999988
44,2928.3178700000003,-0.000507394665311157,-71.68212999999969
45,2898.6080600000005,-0.0007169228594263088,-101.39193999999952
46,2875.93782,-0.0008680750984512955,-124.0621799999999
47,2788.1369500000005,-0.0014860209168591737,-211.86304999999948
48,2798.44021,-0.0013802777886404334,-201.5597899999998
49,2816.0071000000003,-0.0012271245085515848,-183.99289999999974
50,2832.02604,-0.0010915234458042558,-167.9739599999998
51,2891.8569,-0.0006642533440557714,-108.14309999999978
52,2908.8623400000006,-0.0005407682442071395,-91.13765999999941
53,2878.2455900000004,-0.0007256676247705848,-121.75440999999955
54,2878.8546200000005,-0.0007086264379753153,-121.14537999999948
55,2874.47132,-0.000723161406952845,-125.5286799999999
56,2871.5173900000004,-0.0007285031872686384,-128.48260999999957
57,2891.9009100000003,-0.0005935545333811419,-108.0990899999997
58,2881.0661400000004,-0.000646995829880934,-118.93385999999964
59,2881.0983600000004,-0.0006360261767152531,-118.90163999999959
60,2844.8234,-0.000832003951773649,-155.17659999999978
61,2782.8819900000003,-0.0011697680196654451,-217.11800999999969
62,2782.9702500000003,-0.001150696855502904,-217.0297499999997
63,2781.7433,-0.0011396059338763566,-218.2566999999999
64,2779.0473400000005,-0.0011369837200614484,-220.95265999999947
65,2857.2413800000004,-0.0006934385939929575,-142.7586199999996
66,2858.55379,-0.0006762331275004639,-141.44621000000006
67,2793.31029,-0.0010019349039595193,-206.6897100000001
68,2779.17932,-0.0010607309421870395,-220.8206799999998
69,2766.1776800000002,-0.0011124094997949307,-233.82231999999976
70,2765.97659,-0.0010977656474171918,-234.02340999999979
71,2764.0486600000004,-0.0010921996803989792,-235.95133999999962
72,2775.49546,-0.0010205076795258784,-224.5045399999999
73,2784.4227600000004,-0.0009632512140859937,-215.57723999999962
74,2798.9394,-0.0008808942825109504,-201.0605999999998
75,2787.1218200000003,-0.0009248583522274129,-212.8781799999997
76,2777.7257300000006,-0.0009566296982561628,-222.27426999999943
77,2766.4805700000006,-0.000996266925899463,-233.51942999999937
78,2751.4629900000004,-0.0010523699534118562,-248.53700999999955
79,2798.5153200000004,-0.0008254548215341388,-201.48467999999957
80,2789.1480500000007,-0.000856587828865655,-210.8519499999993
81,2772.0884300000007,-0.0009207322070775313,-227.9115699999993
82,2767.8019900000004,-0.0009282689931132727,-232.1980099999996
83,2794.4691900000007,-0.0008025182518252778,-205.5308099999993
84,2819.2752300000006,-0.0006886435157365702,-180.72476999999935
85,2824.9311500000003,-0.0006573085795676727,-175.06884999999966
86,2787.4884,-0.0008021026628867107,-212.51159999999982
87,2718.1618900000003,-0.0010756083185172337,-281.8381099999997
88,2701.7576900000004,-0.0011313322049612542,-298.24230999999963
89,2639.3910400000004,-0.0013752477564097929,-360.60895999999957
90,2639.00707,-0.0013617337891794945,-360.9929299999999
91,2637.15473,-0.0013545617690132019,-362.8452699999998
92,2634.23618,-0.0013518966329828656,-365.7638200000001
93,2634.1717900000003,-0.0013377747913362016,-365.8282099999997
94,2637.55033,-0.001310192093555345,-362.44966999999997
95,2635.7063000000003,-0.001303827019168623,-364.2936999999997
96,2646.3092000000006,-0.0012489134140627233,-353.6907999999994
97,2613.47692,-0.001362769596355092,-386.52307999999994
98,2597.89819,-0.0014092155722339789,-402.1018100000001
99,2558.88429,-0.001545298277675078,-441.11571000000004
100,2554.0508800000002,-0.0015487000174830925,-445.94911999999977
101,2474.0638400000003,-0.0018405531149310028,-525.9361599999997
102,2462.3866200000007,-0.001868507492018475,-537.6133799999993
103,2460.88176,-0.001856417408425433,-539.1182399999998
104,2483.1670100000006,-0.0017524915401187782,-516.8329899999994
105,2499.65175,-0.0016733303467116477,-500.34825
106,2512.69287,-0.0016089331027943148,-487.30713000000014
107,2482.7646899999995,-0.0017043207510102918,-517.2353100000005
108,2542.029,-0.001469691306226495,-457.971
109,2548.69971,-0.0014324744075798715,-451.30029000000013
110,2542.8216199999997,-0.0014403467945492082,-457.1783800000003
111,2549.9057299999995,-0.0014026122260845948,-450.0942700000005
112,2554.3624899999995,-0.001374732351217661,-445.6375100000005
113,2555.8932399999994,-0.0013574165507669535,-444.1067600000006
114,2562.7330099999995,-0.0013223426839850882,-437.26699000000053
115,2570.56885,-0.0012845844647291363,-429.4311499999999
116,2576.013969999999,-0.0012555003678018468,-423.98603000000094
117,2602.570869999999,-0.0011574935877245323,-397.4291300000009
118,2615.2847799999995,-0.0011067151963828608,-384.7152200000005
119,2625.0947799999994,-0.0010662340235929044,-374.90522000000055
120,2633.362519999999,-0.0010313932339756605,-366.6374800000008
121,2710.4270399999996,-0.0007830647382994368,-289.5729600000004
122,2632.7933399999993,-0.0010095650923622739,-367.20666000000074
123,2708.83429,-0.0007685022066241601,-291.1657100000002
124,2691.3777499999997,-0.000813908586564089,-308.62225000000035
125,2693.9446899999994,-0.000799879436717211,-306.05531000000065
126,2694.0656799999997,-0.0007932275369382033,-305.9343200000003
127,2692.44736,-0.0007917234003199086,-307.5526399999999
128,2698.77416,-0.0007673702547014079,-301.22584000000006
129,2707.1828999999993,-0.0007375000008145037,-292.81710000000066
130,2725.522699999999,-0.0006801565191233614,-274.4773000000009
