#{"t_start": 1745226275.0766737, "env_id": "None"}
r,l,t
381.206726,1436,28.991398
656.26379,1436,60.9138
777.751866,1436,92.160307
467.794726,1436,123.356238
538.260754,1436,154.894368
469.590545,1436,181.115694
741.065521,1436,212.420711
455.687593,1436,244.857256
580.194721,1436,276.41661
467.197577,1436,308.223094
589.239984,1436,333.459705
595.692293,1436,365.283569
732.900544,1436,397.291239
684.155002,1436,428.324713
674.581071,1436,459.055293
804.024689,1436,485.213814
620.688137,1436,517.789551
760.258953,1436,549.524168
559.691981,1436,581.339784
548.596767,1436,613.319576
617.664004,1436,640.397015
620.067864,1436,671.98005
711.601829,1436,704.115183
608.904411,1436,736.669394
601.502775,1436,769.022005
513.597469,1436,795.465301
646.106831,1436,826.493992
754.624495,1436,858.711466
406.44125,1436,889.834047
601.64451,1436,921.219343
709.168886,1436,948.198904
692.096098,1436,979.381093
614.641467,1436,1011.933568
485.657921,1436,1043.645317
540.821078,1436,1076.249515
587.715059,1436,1103.338521
618.897502,1436,1135.297368
510.160713,1436,1168.386998
479.448606,1436,1201.12067
581.444079,1436,1234.10987
592.917814,1436,1261.162109
550.863214,1436,1293.649354
592.761443,1436,1326.809176
593.925088,1436,1360.08587
652.298707,1436,1392.543621
546.515494,1436,1424.513718
510.338709,1436,1451.227111
546.974989,1436,1484.371871
723.073827,1436,1516.133555
471.200731,1436,1547.930054
480.185906,1436,1580.089051
664.484634,1436,1607.465006
555.138122,1436,1641.839196
467.440859,1436,1676.98622
604.605677,1436,1716.837164
405.773125,1436,1757.925722
685.501163,1436,1791.840751
516.162747,1436,1832.84699
381.471165,1436,1873.497647
576.464314,1436,1913.051322
585.026841,1436,1951.927558
761.009427,1436,1984.287309
656.309334,1436,2023.259975
532.448382,1436,2063.042671
709.708062,1436,2101.831797
555.709179,1436,2141.544521
635.687893,1436,2174.303859
752.504067,1436,2213.05753
684.60839,1436,2252.459561
736.05724,1436,2291.939863
614.846231,1436,2330.760821
481.690423,1436,2363.123976
888.811276,1436,2400.755016
394.908886,1436,2439.947364
698.636686,1436,2479.37983
467.10946,1436,2519.888782
620.811596,1436,2554.637604
608.793835,1436,2596.084468
597.131346,1436,2641.20433
526.57461,1436,2726.196736
688.475254,1436,3097.296426
511.764979,1436,3533.019119
531.150267,1436,4166.67331
453.13386,1436,4295.169011
650.476727,1436,4338.15193
571.062724,1436,4382.310288
532.986871,1436,4424.750817
574.672402,1436,4460.661077
629.99923,1436,4503.876482
458.670235,1436,4541.511563
508.78299,1436,4584.197941
579.676831,1436,4625.752808
539.942502,1436,4658.049802
470.993071,1436,4698.985586
579.542905,1436,4736.384569
486.179667,1436,4774.530548
559.220285,1436,4812.058068
409.110079,1436,4843.20445
438.520801,1436,4881.677661
626.256826,1436,4919.734321
590.53869,1436,4958.092467
581.994719,1436,4996.849432
470.681284,1436,5029.029613
557.135731,1436,5067.5959
577.739773,1436,5105.659798
530.44256,1436,5143.57442
593.825443,1436,5181.805778
530.772727,1436,5213.564358
481.550517,1436,5251.029544
523.99201,1436,5287.92913
488.876002,1436,5325.561954
512.190333,1436,5364.356544
596.380528,1436,5395.358048
507.396727,1436,5430.663468
563.804794,1436,5466.450312
582.904552,1436,5501.684802
578.837991,1436,5537.881458
563.316538,1436,5569.64888
815.493729,1436,5604.797899
488.990414,1436,5641.899348
578.19135,1436,5677.903511
456.084315,1436,5713.670705
569.951765,1436,5743.073663
566.362407,1436,5778.801584
668.2185,1436,5815.194846
548.378874,1436,5851.525085
590.277158,1436,5886.169329
533.518774,1436,5916.333254
515.407122,1436,5952.423619
594.236588,1436,5991.140654
596.189605,1436,6030.574219
514.397989,1436,6070.476905
594.312474,1436,6109.398582
615.613765,1436,6139.939453
507.307053,1436,6178.970689
551.274429,1436,6218.681234
493.262964,1436,6258.35623
638.573891,1436,6297.094246
677.388412,1436,6326.076171
558.606145,1436,6364.068531
687.2186,1436,6401.777187
560.665731,1436,6440.223562
599.044619,1436,6478.687585
411.993656,1436,6508.867065
678.938147,1436,6547.244107
647.380037,1436,6585.289249
702.337261,1436,6622.813664
787.188692,1436,6661.521703
671.380665,1436,6690.685
629.028923,1436,6728.859808
453.399758,1436,6767.139544
594.025395,1436,6805.744219
521.624264,1436,6844.711291
496.78771,1436,6874.481331
594.550616,1436,6912.600712
506.830981,1436,6951.238377
611.392009,1436,6989.625756
504.830654,1436,7029.778799
572.481313,1436,7059.903029
681.698679,1436,7095.7347
520.358455,1436,7133.407065
633.907054,1436,7170.83931
635.859836,1436,7209.370057
640.06866,1436,7238.899553
711.317756,1436,7274.851882
728.061104,1436,7311.350938
642.702589,1436,7348.093895
723.300108,1436,7386.52588
653.645907,1436,7417.61146
751.801198,1436,7455.455002
669.803537,1436,7494.029431
769.291096,1436,7531.825657
590.48311,1436,7569.90134
671.301166,1436,7596.144722
