#{"t_start": 1745156208.5201948, "env_id": "None"}
r,l,t
542.341791,1456,5.692263
389.19162,1456,11.848572
635.159382,1456,17.614061
719.139761,1456,23.742844
620.701223,1456,29.792159
870.749752,1456,35.955343
631.410099,1456,41.834938
459.510835,1456,48.189482
568.708624,1456,54.025664
597.077595,1456,60.487292
544.207324,1456,66.468322
694.323215,1456,72.987638
664.90038,1456,79.080122
619.220458,1456,85.095814
789.341517,1456,91.18354
496.798922,1456,97.141709
470.65103,1456,103.241112
508.905383,1456,109.08825
725.18411,1456,115.363305
778.240452,1456,121.322871
530.817466,1456,127.65836
676.704578,1456,133.523478
612.22582,1456,139.420299
575.378229,1456,145.538322
561.000505,1456,151.53501
670.7685,1456,157.632117
755.671979,1456,163.573588
758.021119,1456,169.74926
625.664804,1456,175.665028
481.182618,1456,181.62022
697.641693,1456,187.541611
462.743414,1456,193.425525
570.197275,1456,199.745963
552.001782,1456,205.802837
516.527642,1456,211.96803
647.349711,1456,217.68263
699.060825,1456,223.913994
515.441249,1456,229.560758
401.369584,1456,235.747912
767.443168,1456,241.680761
710.975025,1456,247.878974
656.655379,1456,253.798607
596.752628,1456,260.064243
624.135348,1456,265.888454
829.155915,1456,271.957741
502.09183,1456,277.93746
551.10267,1456,284.148788
607.965792,1456,290.046209
784.74938,1456,296.442187
823.323401,1456,302.343824
668.350155,1456,308.395859
650.583242,1456,314.048154
718.429341,1456,320.465237
672.71731,1456,326.472627
750.309076,1456,332.65723
596.663222,1456,338.764159
746.201195,1456,344.908223
719.783391,1456,350.786366
502.823319,1456,357.116884
638.872249,1456,363.060939
482.156007,1456,369.310364
750.937156,1456,375.284268
440.54154,1456,381.324851
781.128617,1456,387.363863
738.752452,1456,393.54078
606.674778,1456,399.642235
503.769822,1456,405.51422
534.509455,1456,411.673058
855.728407,1456,417.846452
668.509819,1456,424.430316
726.097497,1456,430.384935
692.446388,1456,436.582225
556.353783,1456,442.3388
584.335786,1456,448.602636
612.007853,1456,454.549039
614.479799,1456,460.877764
743.80325,1456,466.998604
631.318453,1456,473.341728
628.919673,1456,479.378243
803.246282,1456,485.403762
845.88676,1456,491.208041
551.909553,1456,497.142409
635.005883,1456,503.179671
730.249737,1456,508.979172
442.574182,1456,515.077617
587.062803,1456,521.104899
829.586642,1456,526.842299
694.093086,1456,532.446111
767.630758,1456,538.355129
799.597631,1456,544.273414
538.024435,1456,550.050609
699.60873,1456,555.795864
624.369914,1456,561.421186
790.788298,1456,567.102043
729.247391,1456,573.083541
653.154142,1456,578.959639
443.593108,1456,584.848413
597.256029,1456,590.783933
821.669242,1456,596.746932
755.883287,1456,602.565757
574.133995,1456,608.268944
765.903292,1456,614.214119
790.084276,1456,620.121217
803.982157,1456,625.910119
772.532383,1456,631.730348
668.367791,1456,637.42124
726.015275,1456,643.264378
643.609264,1456,649.402725
764.888246,1456,655.376314
739.411855,1456,661.261753
725.80477,1456,667.160153
581.874141,1456,672.979016
746.620307,1456,678.667406
671.200961,1456,684.491153
824.645048,1456,690.462226
858.368952,1456,696.730844
625.476126,1456,702.587572
667.904897,1456,708.292264
811.894072,1456,714.159534
733.119051,1456,719.921357
809.392173,1456,725.951113
771.471626,1456,731.763102
736.790223,1456,737.622498
715.431931,1456,743.414274
864.253241,1456,749.270091
741.495109,1456,755.153637
733.581834,1456,761.115828
704.027738,1456,766.962827
750.383284,1456,772.901438
743.90929,1456,778.792036
767.371854,1456,784.643254
851.013518,1456,790.651946
659.470494,1456,796.524577
773.207471,1456,802.293997
748.917595,1456,808.262362
740.416832,1456,813.883179
624.074431,1456,819.886309
740.720569,1456,825.658302
806.712926,1456,831.484468
679.9935,1456,837.170346
612.257625,1456,843.115981
573.242862,1456,849.049534
784.721867,1456,855.154014
852.422262,1456,861.109019
635.523815,1456,867.406859
584.596312,1456,873.130161
643.144054,1456,878.865834
755.011641,1456,884.530035
685.418016,1456,890.441506
571.491759,1456,896.194465
689.421597,1456,901.98275
540.149268,1456,907.83772
579.182557,1456,913.583784
698.859906,1456,919.56984
718.488155,1456,925.364151
697.871986,1456,931.357822
572.388228,1456,937.142788
634.217234,1456,943.128242
535.70188,1456,948.821804
669.05024,1456,954.592814
495.339895,1456,960.441219
719.587684,1456,966.186464
589.937105,1456,971.934358
693.773623,1456,977.689565
625.003489,1456,983.50651
674.4042,1456,989.355792
740.90979,1456,995.217257
787.920934,1456,1001.002646
680.702976,1456,1007.022825
739.187688,1456,1012.915403
690.086388,1456,1018.744282
