Trading Day,Portfolio Value,Daily Return,Total Profit
0,2997.0039699999998,-0.0009986766666667487,-2.996030000000246
1,2985.81003,-0.002366860050363275,-14.189969999999903
2,2970.3252500000003,-0.003306614582348553,-29.674749999999676
3,2985.1099400000003,-0.0012355946842777892,-14.890059999999721
4,2996.4374700000003,-0.00022954021555367823,-3.562529999999697
5,2961.90403,-0.0021120889330502614,-38.09596999999985
6,2961.2911400000007,-0.0018399225608515671,-38.70885999999928
7,2959.7673000000004,-0.0016742555345365033,-40.23269999999957
8,2953.1930400000006,-0.0017350280755638074,-46.806959999999435
9,2951.0339800000006,-0.0016346346100232115,-48.96601999999939
10,2921.4744400000004,-0.0023966380264090485,-78.52555999999959
11,2919.4130600000003,-0.0022557178381745198,-80.58693999999969
12,2957.263490000001,-0.001084887073876393,-42.736509999998816
13,2945.8836500000007,-0.001282259289615829,-54.11634999999933
14,2935.6436200000007,-0.0014285118030998572,-64.35637999999926
15,2924.55173,-0.0015753767101712368,-75.44826999999987
16,2918.527390000001,-0.0016038792043429429,-81.4726099999989
17,2888.7268100000006,-0.002082043003622594,-111.27318999999943
18,2862.7863500000008,-0.0024450877829074328,-137.21364999999923
19,2894.683800000001,-0.0017657284250311533,-105.31619999999884
20,2884.0953300000015,-0.0018558319341714425,-115.90466999999853
21,2878.1565300000016,-0.0018650739024380673,-121.84346999999843
22,2906.611880000002,-0.0013541290262770616,-93.3881199999978
23,2868.593490000002,-0.0018427056447517538,-131.40650999999798
24,2839.730800000002,-0.002171462112556173,-160.2691999999979
25,2872.074690000002,-0.001649876135760023,-127.92530999999781
26,2857.896790000002,-0.0017716016984525237,-142.10320999999794
27,2868.824500000002,-0.0015717698692866184,-131.175499999998
28,2878.066750000002,-0.0014064807123229353,-121.93324999999822
29,2876.695730000002,-0.0013754769679674187,-123.30426999999781
30,2887.135000000001,-0.0012140451291871332,-112.86499999999887
31,2880.375890000002,-0.001249266007929634,-119.62410999999793
32,2846.615850000002,-0.001566582382096835,-153.38414999999804
33,2873.326500000002,-0.0012445270231384222,-126.67349999999806
34,2876.6102700000024,-0.0011763163623237064,-123.3897299999976
35,2884.840850000002,-0.0010641629108797293,-115.15914999999814
36,2891.980420000002,-0.0009685137107161746,-108.01957999999786
37,2870.5772500000016,-0.0011377862343533976,-129.42274999999836
38,2894.180230000002,-0.0008977819448588003,-105.81976999999779
39,2891.043920000002,-0.0009024289191450132,-108.95607999999811
40,2889.714220000002,-0.000891636449616275,-110.28577999999789
41,2899.984130000002,-0.0007857890695847575,-100.0158699999979
42,2911.2892100000017,-0.00067685618932646,-88.71078999999827
43,2920.4360800000018,-0.0005900671312933331,-79.56391999999823
