#{"t_start": 1745161194.3528178, "env_id": "None"}
r,l,t
536.401551,1456,18.59319
725.83108,1456,39.761957
541.82082,1456,60.836491
601.45804,1456,82.523721
564.561895,1456,104.207828
528.526969,1456,126.27897
691.905807,1456,144.091303
677.573105,1456,165.475042
568.833025,1456,187.25601
591.535366,1456,209.075057
744.965488,1456,231.202895
544.562932,1456,252.699509
494.056959,1456,270.543428
690.200755,1456,292.409032
494.493879,1456,314.582516
750.628313,1456,338.669199
789.383902,1456,362.44999
536.050761,1456,385.127951
593.489942,1456,407.527308
607.98432,1456,428.160192
649.737188,1456,452.905859
760.596891,1456,477.343981
609.401552,1456,501.227453
650.330333,1456,526.020247
496.19023,1456,550.228278
545.673114,1456,570.697317
599.765624,1456,596.295518
527.1222,1456,622.046784
703.641511,1456,646.828913
414.682651,1456,672.043684
659.448216,1456,697.216477
616.604885,1456,718.192197
578.161452,1456,743.360556
577.90219,1456,769.243929
924.89667,1456,794.262151
561.068536,1456,818.617293
651.879417,1456,843.018904
819.737596,1456,867.709147
690.588504,1456,889.170596
655.348276,1456,914.534788
632.034708,1456,940.650196
617.516897,1456,965.252652
723.192639,1456,989.656652
638.255397,1456,1014.293231
775.087338,1456,1036.007562
507.083534,1456,1059.876214
712.538151,1456,1084.290315
634.167498,1456,1108.704214
697.71281,1456,1133.565298
592.685979,1456,1159.134606
658.668902,1456,1184.112806
686.012441,1456,1205.118402
509.811755,1456,1230.677149
718.058108,1456,1255.489718
601.546051,1456,1279.906327
649.88322,1456,1304.435548
864.202961,1456,1329.995697
603.948591,1456,1350.027436
682.949678,1456,1373.557611
781.088017,1456,1399.221703
453.537754,1456,1425.76802
659.78075,1456,1451.353013
604.047237,1456,1477.355334
584.489439,1456,1505.183847
648.196223,1456,1533.951504
748.407,1456,1558.745493
635.938652,1456,1583.608085
792.898376,1456,1608.01598
717.161994,1456,1632.684773
717.439176,1456,1657.540158
530.204306,1456,1679.090756
646.60977,1456,1702.823736
712.174943,1456,1726.499724
630.144788,1456,1750.481268
678.264176,1456,1775.091844
708.551905,1456,1799.774628
628.986558,1456,1821.462341
705.23684,1456,1846.175829
664.437862,1456,1871.519979
449.204882,1456,1896.324954
526.273692,1456,1921.167046
603.71406,1456,1946.523355
500.354037,1456,1972.284036
705.505886,1456,1994.056761
470.947304,1456,2020.646132
484.658045,1456,2045.938338
766.233161,1456,2070.250893
525.148755,1456,2095.348376
600.482856,1456,2119.934972
673.079708,1456,2143.544085
646.167271,1456,2169.930133
827.578011,1456,2194.099426
505.444583,1456,2218.644017
600.277357,1456,2243.961288
610.965884,1456,2269.170727
552.372044,1456,2291.298238
732.124712,1456,2317.683313
681.601692,1456,2342.812212
591.340015,1456,2368.543726
625.499127,1456,2394.367496
645.032046,1456,2420.019292
677.107983,1456,2445.488713
615.26876,1456,2464.345062
548.796791,1456,2487.604011
608.569146,1456,2510.835831
564.296914,1456,2534.465025
581.528172,1456,2558.315132
600.828358,1456,2582.645133
586.271748,1456,2602.068115
595.955053,1456,2625.006511
604.998542,1456,2648.485708
612.213305,1456,2672.416234
622.437125,1456,2697.069232
601.083945,1456,2721.368838
587.26385,1456,2744.926783
607.559401,1456,2763.646628
617.091926,1456,2787.141739
596.412162,1456,2811.765441
601.614382,1456,2836.13398
598.021765,1456,2860.581109
603.451696,1456,2884.589324
602.498854,1456,2904.245381
600.617035,1456,2927.160748
615.959452,1456,2950.670694
581.321968,1456,2975.157997
595.896063,1456,3000.630243
614.254971,1456,3025.617724
602.543589,1456,3046.121969
602.502483,1456,3070.393571
604.944909,1456,3094.755783
603.205405,1456,3119.288128
615.703015,1456,3143.496763
600.100875,1456,3167.802758
588.239921,1456,3191.853924
603.572189,1456,3211.54292
607.183598,1456,3235.818938
604.513227,1456,3258.490463
601.698196,1456,3283.606958
601.808528,1456,3308.357649
604.920224,1456,3334.540218
607.883054,1456,3355.649742
608.863642,1456,3380.790933
596.89794,1456,3406.044435
600.883892,1456,3431.069696
624.695296,1456,3456.159601
603.367526,1456,3481.801764
594.189723,1456,3507.77077
605.439204,1456,3528.348735
600.169716,1456,3553.844748
601.870714,1456,3578.693081
603.168279,1456,3604.771818
605.867754,1456,3631.158151
608.204876,1456,3664.525887
603.926614,1456,3751.009804
602.711641,1456,3925.292513
602.34415,1456,4154.005034
557.678254,1456,4306.377576
624.807518,1456,4363.376194
608.512353,1456,4404.926447
612.666074,1456,4443.98879
608.685024,1456,4489.351603
599.528518,1456,4527.579897
595.57805,1456,4568.431033
571.163139,1456,4606.565596
604.569279,1456,4644.619177
603.188531,1456,4682.604791
599.502826,1456,4712.734945
608.47874,1456,4748.607996
627.235141,1456,4787.127532
603.147159,1456,4825.75802
601.191012,1456,4861.886061
