#{"t_start": 1745270340.2196338, "env_id": "None"}
r,l,t
736.773892,1441,60.186082
745.117119,1441,126.631766
745.117119,1441,190.409604
745.117119,1441,253.972348
745.117119,1441,327.521409
745.117119,1441,399.621829
745.117119,1441,466.973073
745.117119,1441,537.194646
745.117119,1441,607.918251
745.117119,1441,679.198658
745.117119,1441,747.548395
745.117119,1441,815.39189
745.117119,1441,883.320209
745.117119,1441,951.704948
745.117119,1441,1027.942139
745.117119,1441,1104.791312
745.117119,1441,1177.583139
745.117119,1441,1251.748908
745.117119,1441,1319.31929
745.117119,1441,1386.027744
745.117119,1441,1455.637157
745.117119,1441,1520.468591
745.117119,1441,1580.361099
745.117119,1441,1645.422877
745.117119,1441,1704.069101
745.117119,1441,1763.073076
745.117119,1441,1824.4268
