#{"t_start": 1745160211.1522, "env_id": "None"}
r,l,t
534.323395,1436,5.523418
481.218976,1436,11.165645
403.69422,1436,16.609442
606.789555,1436,22.070617
770.555608,1436,27.463403
550.75167,1436,33.02478
480.757234,1436,38.557489
489.794402,1436,44.211673
550.786892,1436,49.695012
582.281145,1436,55.156365
707.250635,1436,60.797448
588.336716,1436,66.340968
548.986299,1436,71.773339
681.343685,1436,77.294599
630.063941,1436,82.73703
578.615506,1436,88.264374
677.056621,1436,94.186605
610.973469,1436,99.71446
516.694714,1436,105.05172
520.319539,1436,110.586162
663.880819,1436,116.08176
693.126601,1436,121.655126
660.85939,1436,127.307686
600.934867,1436,132.920276
603.279256,1436,138.236835
626.370112,1436,143.710555
605.945149,1436,149.22348
440.995886,1436,154.579868
575.010648,1436,160.187927
445.106458,1436,165.631386
605.233722,1436,171.193023
754.132159,1436,176.997131
637.396533,1436,182.421365
375.281876,1436,188.041094
557.646782,1436,193.53738
621.430815,1436,199.02064
583.940125,1436,204.306409
550.448123,1436,209.816108
580.294231,1436,215.513501
470.82948,1436,220.963445
549.615094,1436,226.361003
530.032467,1436,232.280115
627.404278,1436,237.630654
543.134621,1436,242.980509
558.644045,1436,248.325725
617.310937,1436,253.43252
727.762987,1436,258.662789
412.839948,1436,263.754955
501.265894,1436,268.900751
666.615776,1436,273.990051
605.814272,1436,279.060208
681.27289,1436,284.261737
353.689106,1436,289.477859
756.778288,1436,294.510942
774.543795,1436,299.579288
500.657373,1436,304.634106
565.517149,1436,310.40419
492.82296,1436,316.008194
595.660665,1436,321.450154
541.266059,1436,327.071153
624.584484,1436,332.702308
780.925379,1436,338.339516
645.492471,1436,344.21585
548.03586,1436,349.690628
614.762372,1436,355.276131
668.659568,1436,360.835977
564.013905,1436,366.49569
512.9515,1436,372.085241
541.457614,1436,377.514963
568.612987,1436,383.699915
734.866903,1436,389.353911
519.259326,1436,394.833764
569.511585,1436,400.39736
567.472394,1436,406.021005
630.48669,1436,411.621122
464.959205,1436,417.241561
555.143948,1436,423.562715
568.826079,1436,429.63652
641.79232,1436,435.267071
595.704002,1436,440.870306
498.523211,1436,446.231179
707.181068,1436,451.750068
440.305755,1436,457.815348
373.797988,1436,463.593046
570.364432,1436,469.071292
557.086343,1436,474.893024
657.06217,1436,480.939363
594.987098,1436,486.634728
478.184627,1436,492.359399
504.680821,1436,498.272267
503.001457,1436,503.780535
511.169018,1436,509.271027
567.80015,1436,515.372847
556.806624,1436,520.902709
529.074655,1436,526.339097
587.474437,1436,531.922224
419.004527,1436,537.720732
552.846757,1436,543.309989
569.685009,1436,548.921265
458.626679,1436,554.54387
669.20165,1436,560.061798
691.533503,1436,565.516211
652.133108,1436,571.313786
534.849649,1436,576.923433
564.214531,1436,582.588859
581.552118,1436,588.378301
688.836406,1436,593.797105
609.891479,1436,599.331883
616.24895,1436,604.76353
575.635347,1436,610.459863
601.834425,1436,616.028968
541.346588,1436,621.618564
543.085855,1436,627.136081
441.466422,1436,632.895311
626.414523,1436,638.205428
480.367758,1436,643.797678
675.489941,1436,649.757133
565.373289,1436,655.288559
568.784619,1436,660.820374
537.553866,1436,666.446337
500.071312,1436,672.375434
514.158791,1436,677.685276
407.378931,1436,683.560379
482.319238,1436,689.185376
541.652946,1436,694.820219
490.604985,1436,700.63254
573.091388,1436,706.287431
522.182302,1436,711.709403
517.666378,1436,717.261736
585.842202,1436,722.851924
542.975959,1436,728.822525
459.186495,1436,734.310687
471.131352,1436,740.167711
550.305655,1436,745.61238
642.443835,1436,751.143551
564.761365,1436,756.469229
576.641889,1436,762.304142
583.256184,1436,767.858695
497.945899,1436,773.547512
621.615731,1436,779.132865
525.47306,1436,784.605011
454.102367,1436,790.179905
518.274633,1436,796.019712
512.453657,1436,801.728102
621.556806,1436,807.313523
554.821103,1436,813.095057
596.076357,1436,818.63852
469.220143,1436,824.076484
504.158926,1436,829.917683
426.937779,1436,835.99013
513.010734,1436,841.875802
527.455605,1436,847.655608
665.558708,1436,853.444594
569.013238,1436,859.187061
472.246935,1436,864.725605
564.100887,1436,870.619659
592.875558,1436,876.495813
596.0182,1436,882.370889
723.986739,1436,888.093278
601.471369,1436,895.663446
682.271752,1436,903.053756
489.381412,1436,909.954353
578.65892,1436,915.916923
567.736825,1436,921.576189
547.118814,1436,927.166639
518.551581,1436,932.832565
556.719201,1436,938.337813
555.397385,1436,944.164864
564.599146,1436,950.079742
430.715205,1436,955.485294
536.145351,1436,960.957174
585.161584,1436,966.38823
533.434832,1436,972.252842
519.636999,1436,977.962665
