#{"t_start": 1745265290.7381115, "env_id": "None"}
r,l,t
494.685962,1456,46.627243
737.071537,1456,94.061701
737.071537,1456,141.592077
737.071537,1456,189.261687
737.071537,1456,237.252023
737.071537,1456,284.641512
737.071537,1456,332.230956
737.071537,1456,380.179045
737.071537,1456,428.891116
737.071537,1456,477.912509
737.071537,1456,526.291812
737.071537,1456,579.09309
737.071537,1456,634.46532
737.071537,1456,697.851342
737.071537,1456,761.946827
737.071537,1456,831.05275
737.071537,1456,902.053108
737.071537,1456,981.234933
737.071537,1456,1056.884853
737.071537,1456,1129.188412
737.071537,1456,1192.822456
737.071537,1456,1251.137058
737.071537,1456,1308.446169
737.071537,1456,1367.021478
737.071537,1456,1421.449386
737.071537,1456,1475.674623
737.071537,1456,1529.549232
