#{"t_start": 1745283575.5908446, "env_id": "None"}
r,l,t
713.119821,1441,3.570251
556.323567,1441,8.321529
557.311485,1441,13.178232
661.636194,1441,16.591645
468.057809,1441,21.368096
696.900569,1441,26.196234
586.068295,1441,29.601195
514.453561,1441,34.416824
486.969242,1441,39.203578
944.393499,1441,44.155175
590.96832,1441,47.600078
592.068944,1441,52.491414
663.641113,1441,57.40997
566.68063,1441,60.845911
498.7469,1441,65.660064
609.257248,1441,70.745527
598.503468,1441,74.3079
575.5118,1441,79.193619
735.108139,1441,84.032577
637.245912,1441,89.334321
592.621581,1441,92.672451
548.405327,1441,97.510773
637.734315,1441,102.38346
731.740168,1441,106.031829
468.025839,1441,110.839272
622.0173,1441,115.645144
684.080211,1441,119.179299
499.397588,1441,123.992053
563.31706,1441,128.717446
588.544222,1441,133.570875
571.498241,1441,136.965211
594.588883,1441,141.920421
706.514338,1441,146.666053
675.952357,1441,150.064031
518.164293,1441,154.907172
677.557786,1441,159.66619
532.554399,1441,164.536785
824.605575,1441,167.96918
781.252672,1441,172.784712
563.806127,1441,177.539644
686.256489,1441,181.038203
598.969873,1441,185.813911
770.929994,1441,190.546603
691.936894,1441,193.969577
758.662412,1441,198.885077
792.299781,1441,203.939732
680.4007,1441,209.266237
548.056905,1441,212.956865
512.834617,1441,217.792502
716.856125,1441,222.824874
742.957037,1441,226.545776
943.959057,1441,231.608081
798.313863,1441,236.558533
665.987585,1441,240.028258
719.758499,1441,244.926641
726.772284,1441,249.983193
782.900777,1441,255.068645
582.478855,1441,258.427455
578.573275,1441,263.441339
638.354519,1441,268.335212
794.002724,1441,272.395806
632.402254,1441,277.310899
606.178437,1441,282.154416
728.061937,1441,287.07584
658.265698,1441,290.768902
771.767671,1441,295.603583
669.359199,1441,300.488821
531.283643,1441,303.952797
630.795761,1441,308.909877
586.482769,1441,313.76177
682.165417,1441,317.476946
598.093759,1441,322.419247
670.35896,1441,327.640493
649.813404,1441,332.658527
645.347471,1441,336.308091
394.725706,1441,341.257323
770.884381,1441,346.166963
582.32127,1441,349.647517
556.442008,1441,354.842612
678.823136,1441,359.980035
553.053359,1441,363.428902
704.564627,1441,368.26528
637.718505,1441,373.218408
598.519709,1441,378.213655
754.83115,1441,381.731891
766.289673,1441,386.578918
733.104666,1441,391.516053
772.344083,1441,395.287646
555.220007,1441,400.115372
647.450196,1441,405.080602
598.70944,1441,410.934196
702.755844,1441,415.852013
721.08717,1441,421.688964
660.355576,1441,427.367102
763.127696,1441,431.990517
629.269492,1441,437.760814
841.675133,1441,443.346248
557.091285,1441,447.729943
588.622773,1441,453.232426
643.583731,1441,459.375166
783.344684,1441,464.711047
686.133535,1441,468.540025
683.382601,1441,473.57911
687.124233,1441,478.447137
558.103664,1441,482.113796
699.502711,1441,487.029472
660.712786,1441,491.904425
613.242669,1441,495.31502
606.858093,1441,500.103792
675.907385,1441,504.885819
619.548624,1441,509.965363
570.738748,1441,513.355847
696.647222,1441,518.204869
795.935248,1441,523.045401
539.596732,1441,526.517433
786.646987,1441,531.26562
593.714827,1441,536.07728
683.814146,1441,540.850499
750.503488,1441,544.478837
497.519085,1441,549.419343
631.77356,1441,554.19282
711.125795,1441,557.576582
671.836973,1441,562.336435
488.037538,1441,567.201048
480.54198,1441,570.702771
426.774876,1441,575.478479
695.659631,1441,580.279643
623.871662,1441,585.295445
676.030385,1441,588.721448
613.664629,1441,593.52504
570.089676,1441,598.595733
658.324881,1441,602.363134
414.464901,1441,607.260229
601.982183,1441,612.352304
569.085257,1441,615.940653
674.175493,1441,621.143529
538.928123,1441,625.922391
572.161424,1441,630.873558
645.50802,1441,634.609525
804.877975,1441,639.515633
553.265306,1441,644.403599
706.649863,1441,647.872538
603.142537,1441,652.925155
540.989871,1441,657.784004
481.875765,1441,662.692898
522.788276,1441,666.28217
488.101464,1441,671.176612
539.867368,1441,676.114316
609.535702,1441,680.004086
523.334456,1441,685.047494
526.715371,1441,690.209732
523.134003,1441,693.653256
664.441027,1441,698.590811
724.391767,1441,703.641644
563.003685,1441,708.417105
660.097762,1441,711.832457
650.963011,1441,716.762912
651.719655,1441,721.775041
592.521926,1441,725.156973
678.488756,1441,729.980299
519.821573,1441,734.952446
630.392106,1441,738.368347
565.441287,1441,743.292667
609.883606,1441,748.438131
525.647849,1441,753.212325
484.106049,1441,756.684221
746.412779,1441,761.516077
482.762861,1441,766.300911
593.98068,1441,770.072976
690.259724,1441,775.021846
639.785398,1441,779.793771
737.413221,1441,784.767216
506.280961,1441,788.281466
499.232154,1441,793.359818
