Trading Day,Portfolio Value,Daily Return,Total Profit
0,2997.0096599999997,-0.000996780000000096,-2.9903400000002875
1,2968.977259999999,-0.005175118335937496,-31.022740000000795
2,2944.8361,-0.006160457795087564,-55.16390000000001
3,2940.7128599999996,-0.004970383200825772,-59.28714000000036
4,2647.3428599999997,-0.023928611594617583,-352.65714000000025
5,2650.1761799999995,-0.01976213458008109,-349.8238200000005
6,2654.5561799999996,-0.016702869595663267,-345.4438200000004
7,2654.3185,-0.014626202974272421,-345.68150000000014
8,2610.1147399999995,-0.01485146099815706,-389.88526000000047
9,2620.60733,-0.012964317628290298,-379.3926700000002
10,2629.72358,-0.011469499811482724,-370.27642000000014
11,2632.66936,-0.010420359312558065,-367.33064000000013
12,2639.85989,-0.009408695543912394,-360.1401099999998
13,2639.4607199999996,-0.008747446489527503,-360.5392800000004
14,2656.8127,-0.007726012550314594,-343.18730000000005
15,2653.27408,-0.007326380778567112,-346.72591999999986
16,2676.20188,-0.0063871040487482955,-323.7981199999999
17,2675.9688300000003,-0.006037102844325457,-324.03116999999975
18,2680.4488300000007,-0.005631246904686899,-319.5511699999993
19,2683.92889,-0.005284768938586188,-316.07110999999986
20,2682.1626700000006,-0.005064450064204936,-317.8373299999994
21,2692.9030900000002,-0.004652230152361639,-307.09690999999975
22,2621.8611100000007,-0.005596967406765524,-378.13888999999926
23,2626.0008700000008,-0.005297971286764209,-373.99912999999924
24,2627.2221700000005,-0.00506744924267551,-372.77782999999954
25,2665.3340700000003,-0.004314603553781884,-334.66592999999966
26,2691.8892100000003,-0.0037857976323143715,-308.1107899999997
27,2714.1144500000005,-0.003355720128205665,-285.8855499999995
28,2733.38101,-0.0029952244609506395,-266.61898999999994
29,2720.1357100000005,-0.003056908876932706,-279.8642899999995
30,2730.29338,-0.002837839197496888,-269.70661999999993
31,2726.88501,-0.0027881677546056694,-273.11499000000003
32,2712.6650100000006,-0.0028617002875955993,-287.3349899999994
33,2730.065240000001,-0.0025888725989734996,-269.9347599999992
34,2747.26252,-0.0023349271124834784,-252.73747999999978
35,2763.30737,-0.0021078373420144627,-236.69263
36,2780.4559500000005,-0.0018831439799814316,-219.54404999999952
37,2766.8117700000007,-0.001962723706504094,-233.1882299999993
38,2805.5073700000003,-0.001553791612959814,-194.49262999999974
